PID,name,overall,age,wage_eur,value_eur,diving,handling,kicking,positioning,reflexes,speed,Cluster
0,J. Oblak,91,28,130000,112000000,87,92,78,90,90,50,Cluster 2
1,M. Neuer,90,35,86000,13500000,88,88,91,89,88,56,Cluster 2
2,M. ter Stegen,90,29,250000,99000000,88,85,88,88,90,43,Cluster 2
3,T. Courtois,89,29,250000,85500000,84,89,74,86,88,46,Cluster 2
4,Ederson,89,27,200000,94000000,87,82,93,88,88,64,Cluster 2
5,Alisson,89,28,190000,82000000,86,86,84,90,89,52,Cluster 2
6,G. Donnarumma,89,22,110000,119500000,91,83,79,85,90,52,Cluster 2
7,K. Navas,88,34,130000,15500000,89,84,75,87,89,54,Cluster 2
8,H. Lloris,87,34,125000,13500000,88,83,65,84,90,61,Cluster 2
9,W. Szczęsny,87,31,105000,42000000,86,82,73,87,88,49,Cluster 2
10,S. Handanovič,86,36,78000,7500000,81,81,65,92,87,47,Cluster 2
11,K. Casteels,86,29,88000,52000000,85,83,80,84,87,45,Cluster 2
12,K. Schmeichel,85,34,115000,9000000,84,78,80,83,90,47,Cluster 2
13,Y. Sommer,85,32,40000,26500000,79,81,84,86,86,50,Cluster 2
14,P. Gulácsi,85,31,87000,28500000,85,84,76,82,86,43,Cluster 2
15,De Gea,84,30,120000,28000000,86,79,76,79,87,57,Cluster 2
16,E. Martínez,84,28,81000,33500000,85,83,82,83,85,58,Cluster 2
17,M. Maignan,84,25,45000,49500000,83,81,85,84,86,50,Cluster 2
18,Sergio Asenjo,83,32,37000,18000000,85,83,78,81,83,57,Cluster 2
19,L. Hrádecký,83,31,55000,19000000,85,78,69,83,87,40,Cluster 2
20,B. Leno,83,29,87000,28000000,85,80,76,83,85,55,Cluster 2
21,N. Pope,83,29,45000,25000000,81,83,75,83,84,49,Cluster 2
22,J. Pickford,83,27,83000,33000000,83,78,87,80,86,49,Cluster 2
23,É. Mendy,83,29,105000,30000000,83,82,78,81,84,35,Cluster 2
24,Ł. Fabiański,82,36,43000,3400000,82,82,71,83,82,49,Cluster 2
25,S. Sirigu,82,34,20000,5000000,82,77,76,84,80,46,Cluster 2
26,Rui Patrício,82,33,51000,10000000,82,80,77,80,83,55,Cluster 2
27,K. Trapp,82,30,31000,20500000,82,78,79,82,84,48,Cluster 2
28,A. Areola,82,28,75000,26000000,85,79,76,80,85,55,Cluster 2
29,O. Baumann,82,31,37000,16000000,81,80,79,79,82,49,Cluster 2
30,Neto,82,31,115000,16000000,83,79,78,79,81,54,Cluster 2
31,A. Lopes,82,30,60000,23000000,84,78,70,80,86,63,Cluster 2
32,Y. Bounou,82,30,29000,20500000,82,79,76,81,84,36,Cluster 2
33,P. Gollini,82,26,48000,35000000,82,81,76,83,82,47,Cluster 2
34,Raphaelinho Anjos,82,33,20000,10000000,79,84,77,83,78,41,Cluster 2
